Specimen ID,Specimen ID curated,Genus,Species,Sex,Status,Site,Collection Date,Collection Date curated,Latitude,Longitude,Habitat,Habitat_curated
CMS002_044d_Rb_S181_L004,CMS002_044d,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954531,-117.692953,Residential,Residential
CMS002_044e_Rb_S182_L004,CMS002_044e,Aedes,aegypti,N.D.,unfed,WVAL ,2017-08-23T00:00:00Z,2017-08-23,33.954531,-117.692953,Residential,Residential
CMS002_045a_Rb_S183_L004,CMS002_045a,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_045b_Rb_S184_L004,CMS002_045b,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_045c_Rb_S185_L004,CMS002_045c,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_045d_Rb_S186_L004,CMS002_045d,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_045e_Rb_S188_L004,CMS002_045e,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_045f_Rb_S189_L004,CMS002_045f,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_045g_Rb_S190_L004,CMS002_045g,Aedes,albopictus,N.D.,unfed,WVAL ,2017-10-24T00:00:00Z,2017-10-24,34.151881,-117.66295,Residential,Residential
CMS002_046a_Rb_S191_L004,CMS002_046a,Culex,quinquefasciatus,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.9725,-117.714444,Residential,Residential
CMS002_046b_Rb_S192_L004,CMS002_046b,Culex,quinquefasciatus,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.9725,-117.714444,Residential,Residential
CMS002_047a_Rb_S193_L004,CMS002_047a,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047b_Rb_S194_L004,CMS002_047b,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047c_Rb_S195_L004,CMS002_047c,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047d_Rb_S196_L004,CMS002_047d,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047e_Rb_S197_L004,CMS002_047e,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047f_Rb_S198_L004,CMS002_047f,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047g_Rb_S200_L004,CMS002_047g,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047h_Rb_S1_L004,CMS002_047h,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047i_Rb_S2_L004,CMS002_047i,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_047j_Rb_S3_L004,CMS002_047j,Culex,erythrothorax,N.D.,unfed,WVAL ,2017-11-29T00:00:00Z,2017-11-29,33.93778,-117.633056,Marsh/Swamp,Marsh/Wetland
CMS002_049a_Rb_S4_L004,CMS002_049a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21T00:00:00Z,2017-11-21,38.739939,-121.305636,Commercial/Industrial/Transportation,Industrial
CMS002_050a_Rb_S5_L004,CMS002_050a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21T00:00:00Z,2017-11-21,38.824306,-121.257067,Wetland Preserve,Marsh/Wetland
CMS002_051a_Rb_S6_L004,CMS002_051a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21T00:00:00Z,2017-11-21,38.897572,-121.311747,Commercial/Industrial/Transportation,Industrial
CMS002_053a_Rb_S7_L004,CMS002_053a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21T00:00:00Z,2017-11-21,38.836781,-121.39119,Agriculture & Residential,Agriculture
CMS002_054a_Rb_S8_L004,CMS002_054a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-21T00:00:00Z,2017-11-21,38.772222,-121.4695,Agriculture,Agriculture
