sample_name,uploader,upload_date,runtime_seconds,overall_job_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CMS_013_RNA_A_S5,,2018-04-15 09:23:02 -0700,7981.0,COMPLETE,46803120,134204,0.287,70.378,1.52,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/19/17_Coyotes Hills_
CMS_014_RNA_A_S5,,2018-03-25 21:38:10 -0700,6335.0,COMPLETE,30285576,319108,1.054,77.735,2.47,Insect engorged abdomen,RNA,37.581910_-122.048380,Mosquito,Culex incidens_10/06/17_Bobwhite Pond (Fremont)_dsRNA virus environmental sample
CMS_015_RNA_A_S13,,2018-04-15 09:23:02 -0700,6657.0,COMPLETE,31961998,77844,0.244,74.972,2.43,Insect engorged abdomen,RNA,37.556970_-122.079380,Mosquito,Culex erythrothorax_09/27/17_Coyotes Hills_
CMS_016_RNA_A_S6,,2018-03-25 21:38:10 -0700,8709.0,COMPLETE,26878040,439344,1.635,89.232,2.12,Insect engorged abdomen,RNA,37.581910_-122.04846,Mosquito,Culex inornata_09/19/17_Union City (near Bobwhite)_
CMS_017_RNA_A_S2,,2018-02-06 17:57:49 -0800,11624.0,COMPLETE,73926974,565962,0.766,79.755,1.39,Insect engorged abdomen,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS_018_RNA_A_S14,,2018-03-25 21:38:10 -0700,6022.0,COMPLETE,18795122,76476,0.407,75.163,1.25,Insect engorged abdomen,RNA,37.556970_-122.07938,Mosquito,Culex erythrothorax_09/27/17_Coyotes Hills_Spirochetes_Trypanosomes
CMS_019_RNA_A_S14,,2018-04-15 09:23:02 -0700,6763.0,COMPLETE,31633394,87390,0.276,69.81,1.9,Insect engorged abdomen,RNA,37.556970_-122.07938,Mosquito,Culex erythrothorax_10/04/17_Coyotes Hills_
CMS_020_RNA_A_S15,,2018-04-15 09:23:02 -0700,10798.0,COMPLETE,31195308,429782,1.378,73.518,1.26,Insect engorged abdomen,RNA,37.581910_-122.04846,Mosquito,Culex erythrothorax_10/06/17_Union City Sanitary District_
CMS_021_RNA_A_S16,,2018-04-15 09:23:03 -0700,11497.0,COMPLETE,30799178,315070,1.023,75.897,1.31,Insect engorged abdomen,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS_022_RNA_A_S6,,2018-04-15 09:23:03 -0700,9140.0,COMPLETE,46009226,251698,0.547,76.514,1.82,Insect engorged abdomen,RNA,37.556970_-122.07938,Mosquito,Culex erythrothorax_09/27/17_Coyotes Hills_
CMS_023_RNA_A_S17,,2018-04-15 09:23:03 -0700,7968.0,COMPLETE,29556020,95650,0.324,74.249,1.89,Insect engorged abdomen,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS_024_RNA_A_S15,,2018-03-26 10:09:24 -0700,5585.0,COMPLETE,21483528,86686,0.403,73.688,1.1,Insect engorged abdomen,RNA,37.581910_-122.04838,Mosquito,Culex erythrothorax_10/06/17_Bobwhite Pond (Fremont)_
CMS_025_RNA_A_S7,,2018-04-15 09:23:03 -0700,11551.0,COMPLETE,38525702,352752,0.916,85.732,3.43,Insect engorged abdomen,RNA,37.556970_-122.07938,Mosquito,Culex tarsalis_09/21/17_Coyote Hills
CMS_026_RNA_A_S18,,2018-04-15 09:23:03 -0700,13450.0,COMPLETE,44577072,453390,1.017,85.226,3.48,Insect engorged abdomen,RNA,37.509530_-121.93113,Mosquito,Culex tarsalis_09/19/17_Park Meadow Pond (Fremont)_
CMS_027_RNA_A_S16,,2018-03-26 10:09:24 -0700,5533.0,COMPLETE,29422908,83298,0.283,73.763,1.24,Insect engorged abdomen,RNA,37.866500_-122.310510,Mosquito,Culex tarsalis_09/12/17_McLaughlin Park (Berkeley)_
